Airport,Date,Time Interval,Avg_time,Max_time,Passengers,temp,Flights
Ahmedabad Airport,,0000 - 0015,19,22,54,3.166666667,3
Ahmedabad Airport,,0015 - 0030,20,23,55,3.333333333,3
Ahmedabad Airport,,0030 - 0045,11,17,27,1.833333333,1
Ahmedabad Airport,,0045 - 0100,12,18,32,2,2
Ahmedabad Airport,,0100 - 0115,20,25,57,3.333333333,3
Ahmedabad Airport,,0115 - 0130,15,18,39,2.5,2
Ahmedabad Airport,,0130 - 0145,16,20,41,2.666666667,2
Ahmedabad Airport,,0145 - 0200,19,22,50,3.166666667,3
Ahmedabad Airport,,0200 - 0215,15,20,40,2.5,2
Ahmedabad Airport,,0215 - 0230,14,20,39,2.333333333,2
Ahmedabad Airport,,0230 - 0245,16,20,44,2.666666667,2
Ahmedabad Airport,,0245 - 0300,13,17,32,2.166666667,2
Ahmedabad Airport,,0300 - 0315,21,25,56,3.5,3
Ahmedabad Airport,,0315 - 0330,18,21,51,3,3
Ahmedabad Airport,,0330 - 0345,18,22,51,3,3
Ahmedabad Airport,,0345 - 0400,21,25,56,3.5,3
Ahmedabad Airport,,0400 - 0415,12,16,30,2,2
Ahmedabad Airport,,0415 - 0430,19,22,54,3.166666667,3
Ahmedabad Airport,,0430 - 0445,16,19,41,2.666666667,2
Ahmedabad Airport,,0445 - 0500,12,16,29,2,2
Ahmedabad Airport,,0500 - 0515,8,14,20,1.333333333,1
Ahmedabad Airport,,0515 - 0530,19,25,51,3.166666667,3
Ahmedabad Airport,,0530 - 0545,22,25,60,3.666666667,3
Ahmedabad Airport,,0545 - 0600,20,25,53,3.333333333,3
Ahmedabad Airport,,0600 - 0615,14,19,39,2.333333333,2
Ahmedabad Airport,,0615 - 0630,11,17,28,1.833333333,1
Ahmedabad Airport,,0630 - 0645,22,25,61,3.666666667,3
Ahmedabad Airport,,0645 - 0700,16,21,45,2.666666667,2
Ahmedabad Airport,,0700 - 0715,22,25,62,3.666666667,3
Ahmedabad Airport,,0715 - 0730,22,28,59,3.666666667,3
Ahmedabad Airport,,0730 - 0745,17,23,44,2.833333333,2
Ahmedabad Airport,,0745 - 0800,20,24,53,3.333333333,3
Ahmedabad Airport,,0800 - 0815,10,13,25,1.666666667,1
Ahmedabad Airport,,0815 - 0830,8,11,17,1.333333333,1
